lbp58,hog435,hog556,hog111,hog25,hog369,hog16,hog210,hog363,hog138,hog394,hog120,hog361,hog151,hog421,hog387,hog95,hog225,hog309,hog237,hog547,hog117,hog336,hog374,hog243,hog235,hog565,hog278,hog34,hog430,hog43,hog129,hog61,hog520,hog94,hog90,hog329,lbp5,hog217,hog102,lbp3,hog17,hog221,hog509,hog379,hog84,hog209,hog160,hog367,hog7,Clase
0.3950867,0.1453279,0.1457912,0.1237051,0.1909415,0.1937972,0.1360886,0.1453592,0.1654437,0.1289104,0.1667807,0.1615092,0.1628866,0.1614967,0.2071542,0.09761601,0.2262988,0.1528935,0.1340134,0.1479285,0.191803,0.229007,0.1578428,0.2112643,0.1509642,0.127372,0.1822292,0.184274,0.1504633,0.1501239,0.1245647,0.1408938,0.1861885,0.2150385,0.2262988,0.2262988,0.2245135,0.007533328,0.1287133,0.1437777,0.003541563,0.1798003,0.2284414,0.2150385,0.1039762,0.1371501,0.1023638,0.1411806,0.1678916,0.2076993,Circuito integrado
0.3451749,0.07731148,0.09828335,0.1463039,0.1487221,0.03591306,0.08228998,0.128568,0.07247389,0.09203636,0.06701488,0.09383381,0.03750281,0.1278155,0.04743604,0.07796658,0.2918508,0.04799122,0.06175793,0.07944088,0.04912614,0.2823973,0.1315216,0.3460236,0.03900227,0.04314776,0.12205,0.02686931,0.141296,0.07975932,0.1276951,0.05488714,0.2208097,0.06730881,0.173995,0.2918508,0.2345003,0.004968042,0.06678619,0.05351313,0,0.1018788,0.3668621,0.2962062,0.05120485,0.1973963,0.08856612,0.1233856,0.1104204,0.2402024,Circuito integrado
0.3423748,0.09013747,0.06408892,0.1953729,0.1034207,0.1872114,0.1923778,0.219092,0.2004452,0.09187806,0.1111233,0.1500188,0.2076554,0.1072948,0.1901755,0.1944806,0.1736613,0.1737611,0.1062742,0.2164751,0.09137857,0.09353317,0.1897815,0.2159968,0.2164751,0.2164751,0.1031401,0.2045669,0.1018944,0.1026578,0.2042605,0.108961,0.1119953,0.09316874,0.1554147,0.09507407,0.2129344,0.007029422,0.1713982,0.1097114,0.003770197,0.09269702,0.1100696,0.277798,0.2159968,0.1785269,0.2069807,0.1177327,0.1556761,0.1420143,Circuito integrado
0.4009037,0.0512431,0.1364881,0.122926,0.06639876,0.2180382,0.1490969,0.161492,0.171158,0.09931204,0.115204,0.1280208,0.2180382,0.05139229,0.1515829,0.2124753,0.2138565,0.2101076,0.08610433,0.1531555,0.1385707,0.06333527,0.2188947,0.1937279,0.2101076,0.2101076,0.1327459,0.1681635,0.1772994,0.107876,0.1016387,0.2751404,0.1542133,0.1547341,0.1592938,0.05887031,0.2024667,0.008464067,0.2101076,0.2463829,0.003130286,0.0702139,0.2101076,0.1924536,0.1911541,0.109829,0.146257,0.2375116,0.1300599,0.1122472,Circuito integrado
0.3505705,0.09622228,0.08900158,0.1307388,0.08433476,0.04068398,0.07012627,0.04178913,0.09585889,0.1071714,0.1072719,0.1358653,0.03966763,0.07026449,0.03972031,0.05284198,0.1705354,0.05638941,0.06687257,0.08902814,0.07858341,0.05388077,0.04722265,0.3556383,0.03598009,0.03941007,0.1182668,0.05318746,0.04256904,0.07124498,0.09000809,0.1011883,0.06012528,0.1584991,0.1179676,0.2152733,0.4217349,0.0007628116,0.06627428,0.1522149,0.001150582,0.1329308,0.1950953,0.1292663,0.0409012,0.201731,0.02714149,0.04610851,0.07362431,0.1006609,Circuito integrado
0.2465524,0.06418877,0.07654256,0.1087231,0.08626808,0.1657974,0.1192695,0.09133279,0.1363908,0.112958,0.1270617,0.1452408,0.1960194,0.03967214,0.1161135,0.2383801,0.2124075,0.2300847,0.05188774,0.09852853,0.07158424,0.1203045,0.1036541,0.132751,0.2300847,0.2300847,0.06810597,0.08063979,0.1191346,0.09865717,0.1216795,0.1756668,0.1263958,0.07292873,0.1610351,0.1093496,0.1530914,0.002317238,0.2300847,0.1799919,0,0.05715105,0.2139529,0.04607755,0.2383801,0.148499,0.1300876,0.0925618,0.1237361,0.1701252,Circuito integrado
0.3826596,0.1248233,0.1218684,0.1695617,0.1122809,0.2045871,0.1282717,0.1962515,0.2045871,0.1276169,0.101068,0.166214,0.2045871,0.1089556,0.1520605,0.1762158,0.2038094,0.1831635,0.08829841,0.2057801,0.1392946,0.2406107,0.2014728,0.1483821,0.1877285,0.2057801,0.1173214,0.163927,0.190016,0.1302973,0.1157635,0.2406107,0.1878283,0.1173492,0.2121651,0.2110833,0.179953,0.007360809,0.2057801,0.1872844,0.007232217,0.1721642,0.1947,0.2249203,0.1840057,0.1378579,0.1353326,0.1915765,0.1983893,0.1088619,Circuito integrado
0.3407129,0.1291519,0.09859081,0.03599199,0.1201923,0.245716,0.1026212,0.1890377,0.1330793,0.1461619,0.1076346,0.1569058,0.2062733,0.1385539,0.1045024,0.2507836,0.02587504,0.2258041,0.1544436,0.1855738,0.1036967,0.2849485,0.1314992,0.1255167,0.2258041,0.2258041,0.1297434,0.1980678,0.1020242,0.1109767,0.06927189,0.07445205,0.08921903,0.1160241,0.03824284,0.3261781,0.2050416,0.004006608,0.2258041,0.05925404,0.005186478,0.2736213,0.094651,0.05334641,0.2507836,0.01506263,0.1808339,0.113567,0.1347899,0.1383467,Circuito integrado
0.3638378,0.1497456,0.1393569,0.08761238,0.2082322,0.2141148,0.1187233,0.1318856,0.1326337,0.1673294,0.1567242,0.1098141,0.2144515,0.2032427,0.1605842,0.2075564,0.2075925,0.1365449,0.1481082,0.1202819,0.143643,0.2326573,0.1572326,0.2144515,0.2156272,0.2156272,0.1416145,0.1706455,0.1804081,0.1224909,0.09902576,0.09648592,0.1905677,0.1794158,0.1163712,0.250255,0.2152012,0.002455913,0.1168213,0.09601252,0.006004122,0.1445097,0.2156272,0.134742,0.2144515,0.1109066,0.2086089,0.1769107,0.1260883,0.1441296,Circuito integrado
0.4081453,0.1670894,0.1421638,0.134123,0.1007932,0.03626914,0.07184508,0.162162,0.0983015,0.1229491,0.114817,0.1808845,0.05741987,0.08884169,0.1491009,0.0156532,0.1960559,0.1078773,0.1313879,0.1615688,0.2005177,0.1585743,0.1026058,0.2805295,0.0558351,0.0903609,0.1249492,0.06098176,0.102426,0.1166545,0.06452977,0.162662,0.09770463,0.1403525,0.2217365,0.2004009,0.2698924,0,0.1430441,0.1693756,0.01282458,0.1020253,0.2049524,0.2623976,0.01368581,0.1243345,0.1194687,0.1045471,0.1110128,0.2446152,Circuito integrado
